NO,Code,Name,major categor,minor categor,,,
1,U+1F600,grinning face,Smileys & Emotion,face-smiling,,,
2,U+1F603,grinning face with big eyes,Smileys & Emotion,face-smiling,,,
3,U+1F604,grinning face with smiling eyes,Smileys & Emotion,face-smiling,,,
4,U+1F601,beaming face with smiling eyes,Smileys & Emotion,face-smiling,,,
5,U+1F606,grinning squinting face,Smileys & Emotion,face-smiling,,,
6,U+1F605,grinning face with sweat,Smileys & Emotion,face-smiling,,,
7,U+1F923,rolling on the floor laughing,Smileys & Emotion,face-smiling,,,
8,U+1F602,face with tears of joy,Smileys & Emotion,face-smiling,,,
9,U+1F642,slightly smiling face,Smileys & Emotion,face-smiling,,,
10,U+1F643,upside-down face,Smileys & Emotion,face-smiling,,,
11,U+1FAE0,melting face,Smileys & Emotion,face-smiling,,,
12,U+1F609,winking face,Smileys & Emotion,face-smiling,,,
13,U+1F60A,smiling face with smiling eyes,Smileys & Emotion,face-smiling,,,
14,U+1F607,smiling face with halo,Smileys & Emotion,face-smiling,,,
15,U+1F970,smiling face with hearts,Smileys & Emotion,face-affection,,,
16,U+1F60D,smiling face with heart-eyes,Smileys & Emotion,face-affection,,,
17,U+1F929,star-struck,Smileys & Emotion,face-affection,,,
18,U+1F618,face blowing a kiss,Smileys & Emotion,face-affection,,,
19,U+1F617,kissing face,Smileys & Emotion,face-affection,,,
20,U+263A,smiling face,Smileys & Emotion,face-affection,,,
21,U+1F61A,kissing face with closed eyes,Smileys & Emotion,face-affection,,,
22,U+1F619,kissing face with smiling eyes,Smileys & Emotion,face-affection,,,
23,U+1F972,smiling face with tear,Smileys & Emotion,face-affection,,,
24,U+1F60B,face savoring food,Smileys & Emotion,face-tongue,,,
25,U+1F61B,face with tongue,Smileys & Emotion,face-tongue,,,
26,U+1F61C,winking face with tongue,Smileys & Emotion,face-tongue,,,
27,U+1F92A,zany face,Smileys & Emotion,face-tongue,,,
28,U+1F61D,squinting face with tongue,Smileys & Emotion,face-tongue,,,
29,U+1F911,money-mouth face,Smileys & Emotion,face-tongue,,,
30,U+1F917,smiling face with open hands,Smileys & Emotion,face-hand,,,
31,U+1F92D,face with hand over mouth,Smileys & Emotion,face-hand,,,
32,U+1FAE2,face with open eyes and hand over mouth,Smileys & Emotion,face-hand,,,
33,U+1FAE3,face with peeking eye,Smileys & Emotion,face-hand,,,
34,U+1F92B,shushing face,Smileys & Emotion,face-hand,,,
35,U+1F914,thinking face,Smileys & Emotion,face-hand,,,
36,U+1FAE1,saluting face,Smileys & Emotion,face-hand,,,
37,U+1F910,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,,,
38,U+1F928,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,,,
39,U+1F610,neutral face,Smileys & Emotion,face-neutral-skeptical,,,
40,U+1F611,expressionless face,Smileys & Emotion,face-neutral-skeptical,,,
41,U+1F636,face without mouth,Smileys & Emotion,face-neutral-skeptical,,,
42,U+1FAE5,dotted line face,Smileys & Emotion,face-neutral-skeptical,,,
43,U+1F636 U+200D U+1F32B U+FE0F,face in clouds,Smileys & Emotion,face-neutral-skeptical,,,
44,U+1F60F,smirking face,Smileys & Emotion,face-neutral-skeptical,,,
45,U+1F612,unamused face,Smileys & Emotion,face-neutral-skeptical,,,
46,U+1F644,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,,,
47,U+1F62C,grimacing face,Smileys & Emotion,face-neutral-skeptical,,,
48,U+1F62E U+200D U+1F4A8,face exhaling,Smileys & Emotion,face-neutral-skeptical,,,
49,U+1F925,lying face,Smileys & Emotion,face-neutral-skeptical,,,
50,U+1FAE8,shaking face,Smileys & Emotion,face-neutral-skeptical,,,
51,U+1F642 U+200D U+2194 U+FE0F,⊛ head shaking horizontally,Smileys & Emotion,face-neutral-skeptical,,,
52,U+1F642 U+200D U+2195 U+FE0F,⊛ head shaking vertically,Smileys & Emotion,face-neutral-skeptical,,,
53,U+1F60C,relieved face,Smileys & Emotion,face-sleepy,,,
54,U+1F614,pensive face,Smileys & Emotion,face-sleepy,,,
55,U+1F62A,sleepy face,Smileys & Emotion,face-sleepy,,,
56,U+1F924,drooling face,Smileys & Emotion,face-sleepy,,,
57,U+1F634,sleeping face,Smileys & Emotion,face-sleepy,,,
58,U+1F637,face with medical mask,Smileys & Emotion,face-unwell,,,
59,U+1F912,face with thermometer,Smileys & Emotion,face-unwell,,,
60,U+1F915,face with head-bandage,Smileys & Emotion,face-unwell,,,
61,U+1F922,nauseated face,Smileys & Emotion,face-unwell,,,
62,U+1F92E,face vomiting,Smileys & Emotion,face-unwell,,,
63,U+1F927,sneezing face,Smileys & Emotion,face-unwell,,,
64,U+1F975,hot face,Smileys & Emotion,face-unwell,,,
65,U+1F976,cold face,Smileys & Emotion,face-unwell,,,
66,U+1F974,woozy face,Smileys & Emotion,face-unwell,,,
67,U+1F635,face with crossed-out eyes,Smileys & Emotion,face-unwell,,,
68,U+1F635 U+200D U+1F4AB,face with spiral eyes,Smileys & Emotion,face-unwell,,,
69,U+1F92F,exploding head,Smileys & Emotion,face-unwell,,,
70,U+1F920,cowboy hat face,Smileys & Emotion,face-hat,,,
71,U+1F973,partying face,Smileys & Emotion,face-hat,,,
72,U+1F978,disguised face,Smileys & Emotion,face-hat,,,
73,U+1F60E,smiling face with sunglasses,Smileys & Emotion,face-glasses,,,
74,U+1F913,nerd face,Smileys & Emotion,face-glasses,,,
75,U+1F9D0,face with monocle,Smileys & Emotion,face-glasses,,,
76,U+1F615,confused face,Smileys & Emotion,face-concerned,,,
77,U+1FAE4,face with diagonal mouth,Smileys & Emotion,face-concerned,,,
78,U+1F61F,worried face,Smileys & Emotion,face-concerned,,,
79,U+1F641,slightly frowning face,Smileys & Emotion,face-concerned,,,
80,U+2639,frowning face,Smileys & Emotion,face-concerned,,,
81,U+1F62E,face with open mouth,Smileys & Emotion,face-concerned,,,
82,U+1F62F,hushed face,Smileys & Emotion,face-concerned,,,
83,U+1F632,astonished face,Smileys & Emotion,face-concerned,,,
84,U+1F633,flushed face,Smileys & Emotion,face-concerned,,,
85,U+1F97A,pleading face,Smileys & Emotion,face-concerned,,,
86,U+1F979,face holding back tears,Smileys & Emotion,face-concerned,,,
87,U+1F626,frowning face with open mouth,Smileys & Emotion,face-concerned,,,
88,U+1F627,anguished face,Smileys & Emotion,face-concerned,,,
89,U+1F628,fearful face,Smileys & Emotion,face-concerned,,,
90,U+1F630,anxious face with sweat,Smileys & Emotion,face-concerned,,,
91,U+1F625,sad but relieved face,Smileys & Emotion,face-concerned,,,
92,U+1F622,crying face,Smileys & Emotion,face-concerned,,,
93,U+1F62D,loudly crying face,Smileys & Emotion,face-concerned,,,
94,U+1F631,face screaming in fear,Smileys & Emotion,face-concerned,,,
95,U+1F616,confounded face,Smileys & Emotion,face-concerned,,,
96,U+1F623,persevering face,Smileys & Emotion,face-concerned,,,
97,U+1F61E,disappointed face,Smileys & Emotion,face-concerned,,,
98,U+1F613,downcast face with sweat,Smileys & Emotion,face-concerned,,,
99,U+1F629,weary face,Smileys & Emotion,face-concerned,,,
100,U+1F62B,tired face,Smileys & Emotion,face-concerned,,,
101,U+1F971,yawning face,Smileys & Emotion,face-concerned,,,
102,U+1F624,face with steam from nose,Smileys & Emotion,face-negative,,,
103,U+1F621,enraged face,Smileys & Emotion,face-negative,,,
104,U+1F620,angry face,Smileys & Emotion,face-negative,,,
105,U+1F92C,face with symbols on mouth,Smileys & Emotion,face-negative,,,
106,U+1F608,smiling face with horns,Smileys & Emotion,face-negative,,,
107,U+1F47F,angry face with horns,Smileys & Emotion,face-negative,,,
108,U+1F480,skull,Smileys & Emotion,face-negative,,,
109,U+2620,skull and crossbones,Smileys & Emotion,face-negative,,,
110,U+1F4A9,pile of poo,Smileys & Emotion,face-costume,,,
111,U+1F921,clown face,Smileys & Emotion,face-costume,,,
112,U+1F479,ogre,Smileys & Emotion,face-costume,,,
113,U+1F47A,goblin,Smileys & Emotion,face-costume,,,
114,U+1F47B,ghost,Smileys & Emotion,face-costume,,,
115,U+1F47D,alien,Smileys & Emotion,face-costume,,,
116,U+1F47E,alien monster,Smileys & Emotion,face-costume,,,
117,U+1F916,robot,Smileys & Emotion,face-costume,,,
118,U+1F63A,grinning cat,Smileys & Emotion,cat-face,,,
119,U+1F638,grinning cat with smiling eyes,Smileys & Emotion,cat-face,,,
120,U+1F639,cat with tears of joy,Smileys & Emotion,cat-face,,,
121,U+1F63B,smiling cat with heart-eyes,Smileys & Emotion,cat-face,,,
122,U+1F63C,cat with wry smile,Smileys & Emotion,cat-face,,,
123,U+1F63D,kissing cat,Smileys & Emotion,cat-face,,,
124,U+1F640,weary cat,Smileys & Emotion,cat-face,,,
125,U+1F63F,crying cat,Smileys & Emotion,cat-face,,,
126,U+1F63E,pouting cat,Smileys & Emotion,cat-face,,,
127,U+1F648,see-no-evil monkey,Smileys & Emotion,monkey-face,,,
128,U+1F649,hear-no-evil monkey,Smileys & Emotion,monkey-face,,,
129,U+1F64A,speak-no-evil monkey,Smileys & Emotion,monkey-face,,,
130,U+1F48C,love letter,Smileys & Emotion,heart,,,
131,U+1F498,heart with arrow,Smileys & Emotion,heart,,,
132,U+1F49D,heart with ribbon,Smileys & Emotion,heart,,,
133,U+1F496,sparkling heart,Smileys & Emotion,heart,,,
134,U+1F497,growing heart,Smileys & Emotion,heart,,,
135,U+1F493,beating heart,Smileys & Emotion,heart,,,
136,U+1F49E,revolving hearts,Smileys & Emotion,heart,,,
137,U+1F495,two hearts,Smileys & Emotion,heart,,,
